rank,studentPopulation,medianBaseSalary,studentFacultyRatio,totalStudentPop,undergradPop,totalGrantAid,percentOfStudentsFinAid,percentOfStudentsGrant
240,21667,120800,16,21667,18113,47334164,90,82
241,21108,110800,17,21108,17724,34449621,98,90
242,6004,135300,12,6004,4678,26634025,97,95
243,5504,115100,10,5504,3071,21431169,100,100
244,26463,108800,18,26463,21688,33859117,92,86
245,8113,105600,15,8113,6428,10811069,99,95
246,9885,106900,21,9885,9012,8500978,73,63
247,11390,115200,14,11390,6468,43765073,100,99
248,33055,109100,19,33055,29335,31964416,87,82
249,5724,105800,17,5724,5569,6924198,87,73
250,23167,119000,16,23167,18131,89415786,100,100
251,16959,105300,27,16959,15621,14513516,83,74
252,34715,101600,20,34715,27636,15523320,74,56
253,12230,100900,21,12230,11441,5569632,80,59
254,23231,102500,17,23231,18638,18594924,89,68
255,1421,102300,10,1421,1421,12069819,100,100
256,22157,97400,27,22157,19454,25380681,89,86
257,1799,124000,12,1799,1655,13310320,100,100
258,6127,97300,12,6127,3687,16333865,100,99
259,23141,104900,19,23141,19798,34820222,94,89
260,1860,164100,16,1860,1674,1662985,78,59
261,11063,123700,14,11063,6780,40648287,98,96
262,3554,109000,11,3554,1995,15577725,100,98
263,25451,95600,19,25451,18045,28475777,98,96
264,5254,123500,11,5254,4584,24973738,76,71
265,6913,110000,16,6913,6225,6271918,78,51
266,2385,98700,14,2385,1920,2405871,92,86
267,1016,139400,13,1016,984,680549,67,49
268,2109,126500,9,2109,2100,15173664,93,90
269,4987,114700,14,4987,3363,20219395,99,99
269,9521,99300,15,9521,8395,8040917,91,88
271,45298,101300,26,45298,36663,40814350,85,60
272,5098,110000,13,5098,4713,5499211,93,89
273,25937,116700,17,25937,16134,62751712,98,97
274,9785,100000,13,9785,4395,18876486,99,98
275,23353,107400,18,23353,18417,21834511,88,82
276,16001,111500,16,16001,13027,32132329,95,93
277,42096,103600,20,42096,35872,75612520,85,78
278,10187,103500,13,10187,6272,30975668,100,100
279,7521,121200,18,7521,6792,28621643,96,96
280,15486,121300,14,15486,9649,57422148,96,96
281,20099,118200,19,20099,15185,20572218,87,76
282,1776,118900,12,1776,1776,14796396,98,98
283,6780,119300,9,6780,6143,40842598,98,96
284,24101,109100,18,24101,18661,20242277,82,62
285,13062,94900,15,13062,10498,17383059,85,83
286,1957,128700,10,1957,1797,11230304,96,96
287,5955,111700,12,5955,4808,20737230,96,96
288,2123,133400,8,2123,1479,1950329,98,97
289,3158,97300,11,3158,3158,13092485,97,97
290,2128,105800,11,2128,2128,20804857,99,99
291,2611,113200,12,2611,2611,20553279,99,98
292,12841,104300,19,12841,12774,7770070,74,62
293,31796,105300,17,31796,20717,7673141,82,76
294,4354,104900,14,4354,3029,12555308,100,100
295,20515,97500,19,20515,17574,20185843,90,86
296,4169,130800,9,4169,2754,14064191,100,100
297,19829,89600,17,19829,17112,9013756,95,95
298,5945,128600,12,5945,4021,31142040,97,96
299,19553,93600,19,19553,16900,17922560,95,94
299,12046,115700,9,12046,8802,25406466,84,84
301,20799,92900,16,20799,18679,12650612,68,39
302,11134,105500,17,11134,8080,1643068,67,61
303,34979,99100,18,34979,28841,26074353,96,93
304,871,143800,9,871,871,7868014,100,100
305,24449,103200,16,24449,20288,44017359,98,98
306,8436,97600,22,8436,7935,6308844,81,76
307,61457,107300,24,61457,43756,29503356,90,84
308,19491,94900,27,19491,16449,22856003,93,92
309,9268,,19,9268,8546,45392254,93,91
310,2954,115500,10,2954,2253,10612534,100,99
311,19107,102700,17,19107,15054,20489164,89,83
312,11750,126400,13,11750,6933,42852227,98,97
313,8436,117400,11,8436,5016,29909098,98,98
314,2996,111600,11,2996,2276,13903531,99,97
315,3880,124300,9,3880,2592,17445475,97,95
316,6377,116200,14,6377,4750,23519476,100,100
317,3802,106700,13,3802,3034,16666361,100,100
318,10989,95600,10,10989,5497,16614657,95,94
319,13441,120500,21,13441,12493,11356625,93,93
320,2670,138700,13,2670,2068,8085115,100,100
321,2757,123900,9,2757,2354,18394700,100,100
322,1562,105000,13,1562,1562,12231647,100,99
323,102826,,15,102826,84202,78568766,75,60
324,4020,105500,12,4020,3782,18522363,100,100
325,4932,,49,4932,4932,5067521,90,87
326,25843,94900,20,25843,14969,21997466,96,91
327,12854,102700,23,12854,11027,14475551,91,88
328,1723,119900,12,1723,1696,13925934,99,99
329,1637,97200,11,1637,1637,4130032,98,96
330,17182,104000,17,17182,12954,8117000,95,89
331,11103,100300,18,11103,9646,13968673,98,98
332,3808,110100,11,3808,3176,20596432,100,100
333,3114,135000,18,3114,3056,13618734,98,97
333,2481,113500,13,2481,2481,2516423,80,66
335,7645,112100,16,7645,6503,27575673,94,93
336,14916,,14,14916,4243,,,
337,8902,97300,15,8902,7684,7791581,83,70
338,17913,96900,16,17913,14138,10161105,88,70
339,6156,120000,11,6156,3371,23750464,98,98
340,30045,110100,21,30045,23061,41150449,95,85
341,11312,116200,19,11312,8898,16612799,96,93
342,1651,104400,13,1651,1611,14835563,100,100
343,13852,107900,16,13852,10568,14633630,99,96
344,1459,119000,8,1459,1459,13661049,100,100
345,10611,109700,16,10611,7803,8108245,92,86
346,3857,120400,13,3857,3185,20417390,99,97
347,19090,93100,19,19090,15549,6136848,96,94
348,1029,131800,9,1029,1010,1828439,94,72
349,9831,115000,12,9831,6801,42564951,98,98
350,2950,112200,9,2950,2950,17845631,96,96
351,13616,105000,14,13616,10836,14017953,95,89
352,22192,122100,19,22192,16869,21222061,91,81
353,58767,111700,20,58767,58767,10934390,60,48
354,9933,91300,14,9933,5420,28611454,100,100
355,1944,113700,13,1944,1645,1522295,93,82
356,1302,100400,10,1302,1302,10088486,100,100
357,3938,102800,14,3938,2313,7314817,97,96
358,1296,114300,10,1296,1293,10294594,100,100
359,1326,103900,12,1326,1306,12478447,100,100
360,3393,101400,13,3393,2433,3281860,96,93
361,11501,96100,19,11501,10329,3723018,77,56
362,30571,97800,19,30571,24062,10214070,84,72
363,5447,108700,3,5447,1811,,,
364,2874,125000,14,2874,2653,16129148,100,100
365,14384,108100,19,14384,11626,8565382,95,78
366,11557,105300,17,11557,10456,10285638,90,74
367,41177,99000,27,41177,32742,48202413,95,91
368,9074,103900,12,9074,5911,24087209,92,91
369,4104,122800,13,4104,3491,18314637,97,96
370,2894,117000,12,2894,1538,12164225,100,100
